date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:53	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Apr%202024%2013:03:53%20GMT	http://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel.0.delayed	(from )
18:33:54	24/24	U-----	200	untouched ('OK')	text/plain	etag:%2218-638cbbe7-605effdc410d9cb4;;;%22	https://www.fundaofwebit.com/robots.txt		(from )
18:33:54	32766/32766	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:03:54%20GMT	https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel.html	(from )
18:34:01	13229/13229	U-----	200	untouched ('')	image/jpeg	etag:%2233ad-61a9d494-299159e455197cac;;;%22	https://www.fundaofwebit.com/frontend/images/favicon.jpg	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/images/favicon.jpg	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:01	232903/232903	U-----	200	untouched ('OK')	text/css	etag:%2238dc7-654233df-7d03286430064aa1;gz%22	https://www.fundaofwebit.com/frontend/css/bootstrap5.min.css	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/css/bootstrap5.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:02	10020/10020	U-----	200	untouched ('OK')	text/css	etag:%222724-654233df-58198674499cc598;gz%22	https://www.fundaofwebit.com/frontend/css/custom2.css	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/css/custom2.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:07	12069/12069	U-----	200	untouched ('OK')	text/css	etag:%222f25-654233df-b916e717e1eabab4;gz%22	https://www.fundaofwebit.com/frontend/css/custom.css	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/css/custom.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:07	7008/7008	U-----	200	untouched ('OK')	text/css	etag:%221b60-65460e2c-b1e5b641ffdbeb71;gz%22	https://www.fundaofwebit.com/frontend/css/style.css	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/css/style.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:10	3351/3351	U-----	200	untouched ('OK')	text/css	etag:%22d17-654233df-6a17cd0ca7fa24df;gz%22	https://www.fundaofwebit.com/frontend/css/owl.carousel.min.css	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/css/owl.carousel.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:15	1301/1301	U-----	200	untouched ('OK')	text/css	etag:%22515-654233df-2abc57038cb4bf86;gz%22	https://www.fundaofwebit.com/frontend/css/owl.theme.default.min.css	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/css/owl.theme.default.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:15	4895/4895	U-----	200	untouched ('')	image/png	etag:%22131f-61a9d494-eaf3f106aca1872e;;;%22	https://www.fundaofwebit.com/frontend/images/logo.png	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/images/logo.png	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:23	43731/43731	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:17%20GMT	https://www.fundaofwebit.com/post/laravel-policy-using-spatie-roles-and-permission-tutorial-step-by-step	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-policy-using-spatie-roles-and-permission-tutorial-step-by-step.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:23	42046/42046	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:17%20GMT	https://www.fundaofwebit.com/post/laravel-10-authorization-policy-tutorial-step-by-step-with-example	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-10-authorization-policy-tutorial-step-by-step-with-example.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:25	180546/180546	U--M--	200	updated ('OK')	text/javascript	etag:16487954653208123835	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/appoinment%20hospitl/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:26	107988/107988	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:25%20GMT	https://www.fundaofwebit.com/post/multi-guard-authentication-with-breeze-in-laravel-10	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/multi-guard-authentication-with-breeze-in-laravel-10.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:27	234193/234193	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:25%20GMT	https://www.fundaofwebit.com/post/laravel-10-spatie-user-roles-and-permissions-tutorial	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-10-spatie-user-roles-and-permissions-tutorial.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:27	45128/45128	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:27%20GMT	https://www.fundaofwebit.com/post/how-to-export-data-to-excel-file-with-different-format-in-laravel-10	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/how-to-export-data-to-excel-file-with-different-format-in-laravel-10.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:28	54378/54378	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:27%20GMT	https://www.fundaofwebit.com/post/how-to-import-excel-file-data-into-database-in-laravel	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/how-to-import-excel-file-data-into-database-in-laravel.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:28	63584/63584	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:28%20GMT	https://www.fundaofwebit.com/post/laravel-10-multiple-image-upload-with-example	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-10-multiple-image-upload-with-example.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:29	42294/42294	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:29%20GMT	https://www.fundaofwebit.com/post/ocr-integration-in-laravel-using-laraocr-package-with-tesseract	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/ocr-integration-in-laravel-using-laraocr-package-with-tesseract.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:30	96113/96113	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:29%20GMT	https://www.fundaofwebit.com/post/laravel-10-crud-with-image-upload-tutorial-with-example	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-10-crud-with-image-upload-tutorial-with-example.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:31	45461/45461	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:30%20GMT	https://www.fundaofwebit.com/post/different-ways-to-store-data-in-laravel-10	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/different-ways-to-store-data-in-laravel-10.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:32	54289/54289	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:32%20GMT	https://www.fundaofwebit.com/post/laravel-form-validation-tutorial-with-example	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-form-validation-tutorial-with-example.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:33	37906/37906	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:27%20GMT	https://www.fundaofwebit.com/post/how-to-make-pagination-in-laravel	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/how-to-make-pagination-in-laravel.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:33	44260/44260	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:33%20GMT	https://www.fundaofwebit.com/post/laravel-eloquent-model-tutorial-with-example	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-eloquent-model-tutorial-with-example.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:35	52386/52386	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:34%20GMT	https://www.fundaofwebit.com/post/laravel-blade-components-tutorial-with-example-all-about-components-in-laravel	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-blade-components-tutorial-with-example-all-about-components-in-laravel.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:35	626619/626619	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:30%20GMT	https://www.fundaofwebit.com/post/laravel-10-api-authentication-using-laravel-sanctum	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-10-api-authentication-using-laravel-sanctum.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:41	89501/89501	U-----	200	untouched ('OK')	application/x-javascript	etag:%2215d9d-61a9d494-49c65e8509dc50e8;gz%22	https://www.fundaofwebit.com/frontend/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/js/jquery-3.6.0.min.js	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:41	63161/63161	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:35%20GMT	https://www.fundaofwebit.com/post/laravel-migrations-tutorial-with-example	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-migrations-tutorial-with-example.html	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:43	80616/80616	U-----	200	untouched ('OK')	application/x-javascript	etag:%2213ae8-654233f4-74d09183a486ab59;gz%22	https://www.fundaofwebit.com/frontend/js/bootstrap5.bundle.min.js	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/js/bootstrap5.bundle.min.js	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:43	31000/31000	U-----	200	untouched ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/appoinment%20hospitl/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:44	44472/44472	U-----	200	untouched ('OK')	application/x-javascript	etag:%22adb8-61a9d494-77ff12ca289847da;gz%22	https://www.fundaofwebit.com/frontend/js/owl.carousel.js	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/js/owl.carousel.js	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:44	767/767	U-----	200	untouched ('OK')	application/x-javascript	etag:%222ff-61a9d494-60dc28f6dfa76c36;gz%22	https://www.fundaofwebit.com/frontend/js/custom.js	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/js/custom.js	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:34:45	6603/6603	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Apr%202024%2013:04:45%20GMT	https://www.fundaofwebit.com/frontend/images/personal-home.jpg	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/images/personal-home.21.delayed	(from https://www.fundaofwebit.com/frontend/css/custom.css)
18:34:45	30839/30839	U-----	200	untouched ('')	image/png	etag:%227877-6219ac44-4d34adacbd0fbc75;;;%22	https://www.fundaofwebit.com/frontend/images/footer-bg.png	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/images/footer-bg.png	(from https://www.fundaofwebit.com/frontend/css/custom2.css)
18:34:46	6603/6603	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Apr%202024%2013:04:46%20GMT	https://www.fundaofwebit.com/frontend/images/home1.jpg	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/images/home1.jpg	(from https://www.fundaofwebit.com/frontend/css/custom.css)
18:34:46	646642/646642	U-----	200	untouched ('')	image/png	etag:%229ddf2-65423414-97c5c9ed530423b9;;;%22	https://www.fundaofwebit.com/frontend/images/yt-bg.png	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/images/yt-bg.png	(from https://www.fundaofwebit.com/frontend/css/style.css)
18:34:46	6603/6603	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Apr%202024%2013:04:46%20GMT	https://www.fundaofwebit.com/frontend/css/owl.video.play.png	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/frontend/css/owl.video.play.png	(from https://www.fundaofwebit.com/frontend/css/owl.carousel.min.css)
18:34:47	49734/49734	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:47%20GMT	https://www.fundaofwebit.com/post/how-to-create-layout-using-laravel-blade-components-in-laravel-9-10	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/how-to-create-layout-using-laravel-blade-components-in-laravel-9-10.html	(from https://www.fundaofwebit.com/post/laravel-10-crud-with-image-upload-tutorial-with-example)
18:34:47	97565/97565	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2020%20Apr%202024%2013:04:47%20GMT	https://www.fundaofwebit.com/post/laravel-10-crud-application-example-tutorial	C:/My%20Web%20Sites/appoinment%20hospitl/www.fundaofwebit.com/post/laravel-10-crud-application-example-tutorial.html	(from https://www.fundaofwebit.com/post/laravel-10-multiple-image-upload-with-example)
