date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:01	32766/32766	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2012:58:01%20GMT	https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel.html	(from )
18:28:01	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-638cbbe7-605effdc410d9cb4;;;%22	https://www.fundaofwebit.com/robots.txt		(from )
18:28:01	13229/13229	---M--	200	added ('OK')	image/jpeg	etag:%2233ad-61a9d494-299159e455197cac;;;%22	https://www.fundaofwebit.com/frontend/images/favicon.jpg	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/frontend/images/favicon.jpg	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:28:01	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/appoinment/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:28:02	232903/232903	---M-Z	200	added ('OK')	text/css	etag:%2238dc7-654233df-7d03286430064aa1;gz%22	https://www.fundaofwebit.com/frontend/css/bootstrap5.min.css	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/frontend/css/bootstrap5.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:28:03	10020/10020	---M-Z	200	added ('OK')	text/css	etag:%222724-654233df-58198674499cc598;gz%22	https://www.fundaofwebit.com/frontend/css/custom2.css	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/frontend/css/custom2.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:28:03	12069/12069	---M-Z	200	added ('OK')	text/css	etag:%222f25-654233df-b916e717e1eabab4;gz%22	https://www.fundaofwebit.com/frontend/css/custom.css	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/frontend/css/custom.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:28:04	7008/7008	---M-Z	200	added ('OK')	text/css	etag:%221b60-65460e2c-b1e5b641ffdbeb71;gz%22	https://www.fundaofwebit.com/frontend/css/style.css	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/frontend/css/style.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:28:04	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-654233df-6a17cd0ca7fa24df;gz%22	https://www.fundaofwebit.com/frontend/css/owl.carousel.min.css	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/frontend/css/owl.carousel.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
18:28:04	1301/1301	---M-Z	200	added ('OK')	text/css	etag:%22515-654233df-2abc57038cb4bf86;gz%22	https://www.fundaofwebit.com/frontend/css/owl.theme.default.min.css	C:/My%20Web%20Sites/appoinment/www.fundaofwebit.com/frontend/css/owl.theme.default.min.css	(from https://www.fundaofwebit.com/post/doctor-appointment-booking-system-and-hospital-management-in-laravel)
