date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:19	15728/15728	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2012:43:19%20GMT	http://www.yahoobaba.net/project/appointment-booking-in-laravel	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/project/appointment-booking-in-laravel.html	(from )
18:13:19	2212/2212	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2012:43:19%20GMT	http://www.yahoobaba.net/robots.txt		(from )
18:13:19	557/557	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Aug%202023%2013:42:50%20GMT	https://www.yahoobaba.net/public/frontend/images/favicon.png	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/images/favicon.png	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:20	162023/162023	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Aug%202023%2013:42:49%20GMT	https://www.yahoobaba.net/public/frontend/css/bootstrap.min.css	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/css/bootstrap.min.css	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:20	123201/123201	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Apr%202024%2004:50:09%20GMT	https://www.yahoobaba.net/public/frontend/css/style.css	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/css/style.css	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:20	88147/88147	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Aug%202023%2013:42:49%20GMT	https://www.yahoobaba.net/public/frontend/js/jquery.min.js	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/js/jquery.min.js	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:21	21552/21552	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2011:48:08%20GMT	https://www.yahoobaba.net/public/build/assets/app-0baf711e.css	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/build/assets/app-0baf711e.css	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:21	2721761/2721761	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2020%20Mar%202024%2011:48:08%20GMT	https://www.yahoobaba.net/public/build/assets/app-640b8096.js	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/build/assets/app-640b8096.js	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:21	62446/62446	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Aug%202023%2013:42:49%20GMT	https://www.yahoobaba.net/public/frontend/js/bootstrap.min.js	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/js/bootstrap.min.js	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:21	6329/6329	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Aug%202023%2007:31:56%20GMT	https://www.yahoobaba.net/public/frontend/js/main.js	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/js/main.js	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:22	178286/178286	---M--	200	added ('OK')	text/javascript	etag:7210503365704080856	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/appoinmnet/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.yahoobaba.net/project/appointment-booking-in-laravel)
18:13:22	4976/4976	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Mar%202024%2011:48:08%20GMT	https://www.yahoobaba.net/public/build/assets/owl.video.play-04360456.png	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/build/assets/owl.video.play-04360456.png	(from https://www.yahoobaba.net/public/build/assets/app-0baf711e.css)
